seed,model,final_value,improvements,sum_N,resilience_score
292,GR-B,10116,0,0.0000,0.0000
292,GR-LS,10119,1,0.0000,0.0000
292,PSI,19862,3,229.5437,0.0000
293,GR-B,10116,0,0.0000,0.0000
293,GR-LS,10119,1,0.0000,0.0000
293,PSI,19862,3,229.5437,0.0000
294,GR-B,10116,0,0.0000,0.0000
294,GR-LS,10119,1,0.0000,0.0000
294,PSI,19862,3,229.5437,0.0000
295,GR-B,10116,0,0.0000,0.0000
295,GR-LS,10119,1,0.0000,0.0000
295,PSI,19862,3,229.5437,0.0000
296,GR-B,10116,0,0.0000,0.0000
296,GR-LS,10119,1,0.0000,0.0000
296,PSI,19862,3,229.5437,0.0000
297,GR-B,10116,0,0.0000,0.0000
297,GR-LS,10119,1,0.0000,0.0000
297,PSI,19862,3,229.5437,0.0000
298,GR-B,10116,0,0.0000,0.0000
298,GR-LS,10119,1,0.0000,0.0000
298,PSI,19862,3,229.5437,0.0000
299,GR-B,10116,0,0.0000,0.0000
299,GR-LS,10119,1,0.0000,0.0000
299,PSI,19862,3,229.5437,0.0000
